REC_TIME,ID,POINT_ID,AVGACURATE,LIGHTVEH,AVGSPEED,LONGVEH,HUGEVEH,MIDVEH,AVGHEADDIST,MINIVEH,AVGFLOW
2023/2/18 0:00,23207,1001,2.50E+00,0,8.16E+01,85,0,137,0,1674,1896
2023/1/20 0:00,23138,1001,3.00E+00,0,6.93E+01,140,0,228,0,2365,2733
2023/1/5 0:00,23110,1001,1.30E+00,0,6.65E+01,37,0,80,0,1167,1284
2023/1/15 0:00,23133,1001,3.00E+00,0,7.80E+01,237,0,401,0,4406,5044
2023/1/23 0:00,23141,1001,2.00E-01,0,9.00E+00,1,0,1,0,43,45
2023/2/4 0:00,23154,1001,1.40E+00,0,8.02E+01,14,0,29,0,662,705
2023/2/12 0:00,23187,1001,3.00E+00,0,9.04E+01,210,0,338,0,3149,3697
2023/2/26 0:00,23215,1001,5.80E+00,0,8.96E+01,729,0,943,0,7964,9636
2023/2/1 0:00,23151,1001,9.00E-01,0,5.90E+01,16,0,37,0,453,506
2023/1/10 0:00,23128,1001,1.90E+00,0,8.11E+01,34,0,104,0,901,1039
2023/2/9 0:00,23171,1001,2.40E+00,0,8.79E+01,123,0,214,0,2318,2655
2023/1/18 0:00,23136,1001,3.90E+00,0,8.00E+01,366,0,584,0,4720,5670
2023/2/17 0:00,23192,1001,4.20E+00,0,8.81E+01,344,0,379,0,3573,4296
2023/1/30 0:00,23149,1001,5.00E-01,0,3.87E+01,4,0,20,0,353,377
2023/2/25 0:00,23214,1001,4.80E+00,0,9.66E+01,680,0,882,0,7077,8639
2023/1/4 0:00,23109,1001,1.60E+00,0,6.66E+01,36,0,107,0,1386,1529
2023/2/7 0:00,23169,1001,1.10E+00,0,6.09E+01,14,0,44,0,631,689
2023/1/14 0:00,23132,1001,1.20E+00,0,4.87E+01,51,0,112,0,1144,1307
2023/2/15 0:00,23190,1001,2.80E+00,0,9.26E+01,212,0,339,0,3731,4282
2023/1/22 0:00,23140,1001,1.40E+00,0,4.66E+01,83,0,131,0,1259,1473
2023/2/23 0:00,23212,1001,3.20E+00,0,8.46E+01,221,0,341,0,3051,3613
2023/2/3 0:00,23153,1001,1.30E+00,0,7.71E+01,33,0,66,0,1078,1177
2023/2/11 0:00,23173,1001,2.70E+00,0,9.03E+01,126,0,208,0,2768,3102
2023/2/19 0:00,23208,1001,2.60E+00,0,8.44E+01,128,0,232,0,2461,2821
2023/2/27 0:00,23216,1001,3.10E+00,0,8.68E+01,215,0,328,0,3477,4020
2023/1/9 0:00,23127,1001,1.60E+00,0,9.17E+01,21,0,49,0,522,592
2023/1/17 0:00,23135,1001,3.80E+00,0,8.58E+01,246,0,448,0,4254,4948
2023/1/29 0:00,23148,1001,6.00E-01,0,6.14E+01,8,0,31,0,390,429
2023/2/6 0:00,23168,1001,1.40E+00,0,7.47E+01,18,0,60,0,1009,1087
2023/2/14 0:00,23189,1001,2.30E+00,0,1.00E+02,188,0,310,0,3786,4284
2023/2/22 0:00,23211,1001,4.00E+00,0,8.66E+01,326,0,426,0,4137,4889
2023/2/20 0:00,23209,1001,3.80E+00,0,8.81E+01,260,0,446,0,4340,5046
2023/2/28 0:00,23217,1001,4.00E+00,0,8.19E+01,222,0,318,0,3213,3753
2023/5/17 0:00,23831,1001,1.10E+00,0,9.30E+01,18,0,64,0,966,1048
2023/5/16 0:00,23830,1001,1.10E+00,0,6.11E+01,32,0,74,0,968,1074
2023/5/15 0:00,23829,1001,9.00E-01,0,5.92E+01,10,0,29,0,489,528
2023/5/14 0:00,23828,1001,2.00E-01,0,2.38E+01,0,0,1,0,1,2
2023/5/13 0:00,23827,1001,1.80E+00,0,7.77E+01,29,0,72,0,600,701
2023/5/12 0:00,23807,1001,1.50E+00,0,7.89E+01,27,0,85,0,556,668
2023/5/11 0:00,23789,1001,1.30E+00,0,8.18E+01,14,0,44,0,473,531
2023/5/10 0:00,23788,1001,3.20E+00,0,8.80E+01,162,0,326,0,2574,3062
2023/5/9 0:00,23787,1001,1.90E+00,0,6.44E+01,34,0,66,0,893,993
2023/5/8 0:00,23768,1001,1.90E+00,0,7.62E+01,30,0,65,0,788,883
2023/5/7 0:00,23767,1001,1.50E+00,0,9.33E+01,16,0,38,0,543,597
2023/5/6 0:00,23747,1001,7.00E-01,0,1.02E+02,13,0,25,0,398,436
2023/5/5 0:00,23727,1001,1.40E+00,0,9.98E+01,28,0,70,0,807,905
2023/5/4 0:00,23708,1001,1.10E+00,0,8.29E+01,24,0,52,0,974,1050
2023/5/3 0:00,23707,1001,1.40E+00,0,8.27E+01,31,0,102,0,1137,1270
2023/5/2 0:00,23687,1001,1.40E+00,0,8.82E+01,23,0,67,0,989,1079
2023/5/1 0:00,23667,1001,1.90E+00,0,8.99E+01,53,0,126,0,1702,1881
2023/4/30 0:00,23647,1001,2.40E+00,0,8.72E+01,85,0,222,0,2227,2534
2023/4/29 0:00,23627,1001,1.60E+00,0,8.03E+01,30,0,92,0,969,1091
2023/4/28 0:00,23607,1001,2.10E+00,0,8.99E+01,51,0,123,0,1546,1720
2023/4/27 0:00,23589,1001,1.80E+00,0,8.68E+01,38,0,85,0,1113,1236
2023/4/26 0:00,23588,1001,2.30E+00,0,8.92E+01,96,0,198,0,2258,2552
2023/4/25 0:00,23587,1001,1.10E+00,0,8.94E+01,10,0,37,0,670,717
2023/4/24 0:00,23568,1001,1.10E+00,0,8.11E+01,15,0,51,0,706,772
2023/4/23 0:00,23567,1001,1.50E+00,0,9.72E+01,62,0,125,0,1400,1587
2023/4/22 0:00,23547,1001,2.10E+00,0,9.31E+01,110,0,228,0,2076,2414
2023/4/21 0:00,23528,1001,2.30E+00,0,8.82E+01,88,0,146,0,1294,1528
2023/4/20 0:00,23527,1001,2.60E+00,0,7.50E+01,132,0,215,0,2397,2744
2023/4/19 0:00,23507,1001,2.60E+00,0,8.58E+01,204,0,265,0,2918,3387
2023/4/18 0:00,23487,1001,4.00E+00,0,9.46E+01,375,0,532,0,4965,5872
2023/4/17 0:00,23468,1001,4.80E+00,0,8.51E+01,586,0,643,0,5984,7213
2023/4/16 0:00,23467,1001,6.10E+00,0,9.10E+01,728,0,767,0,6478,7973
2023/4/15 0:00,23447,1001,4.30E+00,0,8.17E+01,346,0,454,0,3883,4683
2023/4/14 0:00,23428,1001,6.10E+00,0,8.53E+01,662,0,832,0,6682,8176
2023/4/13 0:00,23427,1001,5.50E+00,0,8.96E+01,640,0,739,0,5928,7307
2023/4/12 0:00,23407,1001,5.00E+00,0,8.25E+01,596,0,664,0,5344,6604
2023/4/11 0:00,23387,1001,6.30E+00,0,8.00E+01,819,0,824,0,6693,8336
2023/4/10 0:00,23368,1001,7.00E+00,0,7.86E+01,506,0,541,0,4422,5469
2023/4/9 0:00,23367,1001,4.40E+00,0,8.39E+01,257,0,352,0,2981,3590
2023/4/8 0:00,23351,1001,6.80E+00,0,8.46E+01,630,0,659,0,5220,6509
2023/4/7 0:00,23350,1001,9.00E+00,0,8.89E+01,2052,0,1637,0,9840,13529
2023/4/6 0:00,23349,1001,8.40E+00,0,7.05E+01,1789,0,1483,0,9885,13157
2023/4/5 0:00,23348,1001,8.60E+00,0,8.71E+01,1168,0,1190,0,8818,11176
2023/4/4 0:00,23347,1001,9.60E+00,0,8.82E+01,1441,0,1270,0,9972,12683
2023/4/3 0:00,23328,1001,7.80E+00,0,8.80E+01,1191,0,1392,0,9782,12365
2023/4/2 0:00,23327,1001,8.30E+00,0,8.37E+01,1044,0,1127,0,8134,10305
2023/4/1 0:00,23307,1001,5.80E+00,0,8.24E+01,323,0,459,0,3634,4416
2023/3/31 0:00,23292,1001,5.80E+00,0,7.26E+01,413,0,372,0,2798,3583
2023/3/30 0:00,23291,1001,4.70E+00,0,7.98E+01,184,0,241,0,1853,2278
2023/3/29 0:00,23290,1001,6.30E+00,0,7.23E+01,561,0,562,0,4112,5235
2023/3/28 0:00,23289,1001,6.90E+00,0,7.63E+01,579,0,541,0,3865,4985
2023/3/27 0:00,23288,1001,2.90E+00,0,8.37E+01,134,0,197,0,1863,2194
2023/3/26 0:00,23287,1001,1.00E+00,0,7.88E+01,25,0,33,0,408,466
2023/3/25 0:00,23273,1001,4.50E+00,0,8.81E+01,441,0,564,0,4621,5626
2023/3/24 0:00,23272,1001,6.30E+00,0,9.16E+01,980,0,987,0,7431,9398
2023/3/23 0:00,23271,1001,7.40E+00,0,9.68E+01,1410,0,1440,0,11591,14441
2023/3/22 0:00,23270,1001,8.90E+00,0,9.47E+01,1972,0,2051,0,13885,17908
2023/3/21 0:00,23269,1001,6.30E+00,0,9.15E+01,813,0,982,0,8072,9867
2023/3/20 0:00,23268,1001,5.80E+00,0,9.26E+01,539,0,705,0,6807,8051
2023/3/19 0:00,23267,1001,7.60E+00,0,8.88E+01,1089,0,1274,0,10233,12596
2023/3/18 0:00,23248,1001,5.60E+00,0,8.86E+01,707,0,875,0,7872,9454
2023/3/17 0:00,23247,1001,4.80E+00,0,9.26E+01,466,0,558,0,5066,6090
2023/3/13 0:00,23230,1001,7.60E+00,0,8.96E+01,662,0,991,0,7086,8739
2023/3/12 0:00,23229,1001,5.80E+00,0,9.12E+01,475,0,541,0,4864,5880
2023/3/11 0:00,23228,1001,5.60E+00,0,9.54E+01,490,0,493,0,4797,5780
2023/3/10 0:00,23227,1001,3.70E+00,0,9.03E+01,397,0,456,0,4423,5276
2023/3/9 0:00,23226,1001,2.80E+00,0,6.97E+01,212,0,369,0,3330,3911
2023/3/8 0:00,23225,1001,3.90E+00,0,8.53E+01,280,0,378,0,3371,4029
2023/3/7 0:00,23224,1001,4.50E+00,0,7.53E+01,256,0,290,0,2878,3424
2023/3/6 0:00,23223,1001,3.40E+00,0,9.03E+01,260,0,452,0,4003,4715
2023/3/5 0:00,23222,1001,3.20E+00,0,8.58E+01,218,0,305,0,3191,3714
2023/3/4 0:00,23221,1001,3.50E+00,0,8.35E+01,193,0,308,0,3083,3584
2023/3/3 0:00,23220,1001,4.50E+00,0,8.55E+01,262,0,357,0,3063,3682
2023/3/2 0:00,23219,1001,4.80E+00,0,9.19E+01,298,0,357,0,3499,4154
2023/3/1 0:00,23218,1001,3.00E+00,0,8.32E+01,161,0,312,0,2662,3135
2022/12/31 0:00,23092,1001,2.70E+00,0,8.86E+01,120,0,298,0,3340,3758
2022/12/30 0:00,23091,1001,2.30E+00,0,9.18E+01,115,0,280,0,2919,3314
2022/12/29 0:00,23090,1001,2.20E+00,0,8.93E+01,85,0,219,0,2484,2788
2022/12/28 0:00,23089,1001,1.30E+00,0,5.60E+01,49,0,149,0,1562,1760
2022/12/27 0:00,23088,1001,1.20E+00,0,4.47E+01,45,0,114,0,1324,1483
2022/12/26 0:00,23087,1001,7.00E-01,0,3.05E+01,27,0,81,0,991,1099
2022/12/25 0:00,23067,1001,1.20E+00,0,4.10E+01,69,0,122,0,1173,1364
2022/12/24 0:00,23057,1001,1.60E+00,0,4.89E+01,94,0,174,0,1847,2115
2022/12/23 0:00,23056,1001,1.20E+00,0,4.34E+01,47,0,102,0,1367,1516
2022/12/22 0:00,23055,1001,1.10E+00,0,5.30E+01,54,0,132,0,976,1162
2022/12/21 0:00,23054,1001,2.70E+00,0,9.30E+01,111,0,165,0,2061,2337
2022/12/20 0:00,23053,1001,1.50E+00,0,6.64E+01,63,0,104,0,997,1164
2022/12/19 0:00,23052,1001,1.20E+00,0,5.93E+01,37,0,101,0,1058,1196
2022/12/18 0:00,23051,1001,2.20E+00,0,8.57E+01,209,0,296,0,3287,3792
2022/12/17 0:00,23050,1001,2.50E+00,0,1.02E+02,270,0,399,0,4501,5170
2022/12/15 0:00,23048,1001,3.70E+00,0,8.59E+01,224,0,378,0,2875,3477
2022/12/16 0:00,23049,1001,4.60E+00,0,8.64E+01,377,0,567,0,5130,6074
2022/12/14 0:00,23047,1001,5.00E+00,0,9.03E+01,513,0,720,0,6869,8102
2022/12/13 0:00,23036,1001,2.30E+00,0,9.25E+01,150,0,299,0,2486,2935
2022/12/12 0:00,23035,1001,1.40E+00,0,1.00E+02,78,0,144,0,1850,2072
2022/12/11 0:00,23034,1001,1.50E+00,0,9.87E+01,68,0,112,0,1546,1726
2022/12/10 0:00,23033,1001,1.20E+00,0,8.44E+01,27,0,71,0,715,813
2022/12/9 0:00,23032,1001,1.00E+00,0,7.76E+01,22,0,44,0,564,630
2022/12/8 0:00,23031,1001,1.00E+00,0,7.71E+01,20,0,55,0,607,682
2022/12/7 0:00,23030,1001,1.60E+00,0,7.81E+01,42,0,93,0,1200,1335
2022/12/6 0:00,23029,1001,1.50E+00,0,9.02E+01,46,0,134,0,1358,1538
2022/12/5 0:00,23028,1001,1.80E+00,0,9.51E+01,99,0,211,0,2274,2584
2022/12/4 0:00,23027,1001,1.70E+00,0,8.49E+01,48,0,108,0,1251,1407
2022/12/3 0:00,23010,1001,1.20E+00,0,9.10E+01,27,0,77,0,818,922
2022/12/2 0:00,23009,1001,1.30E+00,0,9.91E+01,69,0,112,0,1268,1449
2022/12/1 0:00,23008,1001,1.50E+00,0,1.00E+02,93,0,151,0,1814,2058
2022/11/30 0:00,23007,1001,1.20E+00,0,6.54E+01,59,0,126,0,1317,1502
2022/11/29 0:00,22989,1001,9.00E-01,0,5.56E+01,24,0,59,0,792,875
2022/11/28 0:00,22988,1001,1.20E+00,0,6.28E+01,48,0,88,0,1252,1388
2022/11/27 0:00,22987,1001,2.40E+00,0,8.24E+01,72,0,120,0,1371,1563
2022/11/26 0:00,22973,1001,1.40E+00,0,7.78E+01,29,0,55,0,588,672
2022/11/25 0:00,22972,1001,1.10E+00,0,6.21E+01,21,0,45,0,586,652
2022/11/24 0:00,22971,1001,1.40E+00,0,7.31E+01,5,0,10,0,205,220
2022/11/22 0:00,22969,1001,1.20E+00,0,9.13E+01,13,0,55,0,655,723
2022/11/21 0:00,22968,1001,1.00E+00,0,6.96E+01,19,0,45,0,619,683
2022/11/19 0:00,22953,1001,1.10E+00,0,6.13E+01,14,0,52,0,412,478
2022/11/20 0:00,22967,1001,1.10E+00,0,6.75E+01,30,0,83,0,685,798
2022/11/23 0:00,22970,1001,1.30E+00,0,6.95E+01,19,0,59,0,631,709
2022/11/18 0:00,22952,1001,1.00E+00,0,5.86E+01,13,0,51,0,463,527
2022/6/27 0:00,22184,1001,3.80E+00,0,1.03E+02,378,0,546,0,5612,6536
2022/6/16 0:00,22173,1001,6.40E+00,0,9.08E+01,1494,0,1236,0,9452,12182
2022/7/5 0:00,22192,1001,2.90E+00,0,1.06E+02,460,0,442,0,4927,5829
2022/5/20 0:00,22146,1001,1.25E+01,0,8.47E+01,2522,0,1831,0,12874,17227
2022/6/24 0:00,22181,1001,2.50E+00,0,1.05E+02,204,0,371,0,4038,4613
2022/5/28 0:00,22154,1001,8.80E+00,0,9.23E+01,2110,0,1519,0,10842,14471
2022/5/19 0:00,22145,1001,1.03E+01,0,8.46E+01,1993,0,1441,0,10053,13487
2022/7/13 0:00,22200,1001,8.80E+00,0,8.68E+01,1468,0,1339,0,8865,11672
2022/7/2 0:00,22189,1001,2.00E+00,0,1.02E+02,180,0,249,0,2616,3045
2022/5/27 0:00,22153,1001,7.90E+00,0,8.25E+01,821,0,722,0,5084,6627
2022/6/5 0:00,22162,1001,8.70E+00,0,1.03E+02,2351,0,1753,0,13187,17291
2022/7/21 0:00,22208,1001,6.00E+00,0,9.95E+01,832,0,925,0,7913,9670
2022/7/10 0:00,22197,1001,3.70E+00,0,8.87E+01,347,0,415,0,3767,4529
2022/6/4 0:00,22161,1001,9.70E+00,0,1.01E+02,2657,0,1989,0,14459,19105
2022/6/13 0:00,22170,1001,7.40E+00,0,1.04E+02,1875,0,1505,0,12860,16240
