,0,1
0,89.0,90.28416028618813
1,89.0,82.72775089740753
2,97.0,82.75709402561188
3,113.99999999999999,82.36427274346352
4,87.0,80.43682062625885
5,77.0,73.10530957579613
6,81.0,69.23549991846085
7,92.0,66.34612491726875
8,85.0,65.63164928555489
9,98.0,63.80103933811187
10,69.0,62.28871124982833
11,77.0,63.76468044519424
12,67.0,62.333821386098855
13,82.0,60.630049079656594
14,86.0,61.465762048959725
15,60.00000000000001,61.17603558301925
16,74.0,58.05985444784164
17,73.0,58.324681103229516
18,64.0,59.23660743236541
19,72.0,58.10820168256759
20,79.0,57.91091099381446
21,69.0,55.321343004703515
22,77.0,55.040096998214715
23,63.0,53.69247937202453
24,62.0,49.70129698514938
25,72.0,51.011127948760986
26,75.0,52.54918050765991
27,55.0,52.9658430814743
28,77.0,51.40131524205208
29,52.0,50.49351221323013
30,65.0,51.66455411911011
31,59.00000000000001,52.329279363155365
32,63.0,50.14971512556076
33,55.0,50.848534524440765
34,47.0,48.73102903366089
35,43.0,45.735149800777435
36,41.0,43.95688730478287
37,56.99999999999999,42.30915495753288
38,50.0,42.93491193652153
39,35.0,41.64967307448387
40,47.0,41.24268487095833
41,48.0,41.10314500331879
42,40.0,41.32238149642944
43,42.0,39.90071678161621
44,40.0,40.3559168279171
45,40.0,40.029339134693146
46,28.999999999999996,39.00239118933678
47,18.0,36.99358081817627
48,25.0,35.91965186595917
49,22.0,35.65684378147125
50,23.0,35.286583721637726
51,28.0,34.370521783828735
52,18.0,34.44215643405914
53,21.0,34.397600173950195
54,24.0,33.97990369796753
55,15.000000000000002,33.00866338610649
56,21.0,32.7912854552269
57,17.0,33.27869647741318
58,15.000000000000002,32.97892639040947
59,18.0,32.73139297962189
60,19.0,32.2471821308136
61,17.0,32.870182037353516
62,13.0,32.644582122564316
63,12.0,31.863579809665676
64,16.0,32.19956108927727
65,14.0,31.817189604043957
66,17.0,32.08604109287262
67,9.0,31.75275534391403
68,12.0,31.84882208704948
69,12.0,32.24475738406181
70,12.0,31.929060280323025
71,14.0,32.18529570102692
72,6.000000000000001,32.5016328394413
73,9.0,32.52813273668289
74,7.0,32.32369089126587
75,10.0,32.265620052814484
76,9.0,32.20660147070885
77,11.0,32.49775570631027
78,14.0,31.493750542402264
79,11.0,31.836058318614956
80,12.0,31.20284247398376
81,9.0,31.319427251815792
82,9.0,30.82225570082664
83,13.0,31.129213869571682
84,10.0,31.512779265642163
85,9.0,31.425980716943737
86,7.0,30.919553279876705
87,7.0,30.846810877323147
88,13.0,30.829099148511883
89,8.0,30.770917534828182
90,9.0,30.206013083457943
91,13.0,30.503579974174496
92,8.0,31.04630476236343
93,12.0,31.156218409538265
94,11.0,31.284471511840817
95,12.0,31.487916380167004
96,9.0,31.577287375926968
97,16.0,31.54011613130569
98,12.0,32.56884878873825
99,16.0,33.08146733045578
100,23.0,33.907653629779816
101,14.0,34.3313073515892
102,26.0,36.52457079291344
103,34.0,38.504456520080566
104,28.0,40.59127727150917
105,31.0,41.574899792671204
106,20.0,40.5355327129364
107,21.0,39.97953951358795
108,34.0,40.47415092587471
109,39.0,42.17840325832367
110,46.0,43.75629797577858
111,44.0,47.33763661980629
112,54.0,53.7260196506977
113,66.0,62.302558153867714
114,72.0,68.10682338476181
115,94.0,76.76262772083282
116,103.0,95.49843662977219
117,79.0,108.43599909543991
